,essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,rater2_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
824,827,1,I think computers have a postitive affect on people. Computers are very important to society. You can still interact with Your Family and friends either in @CAPS1 chat or @CAPS2. Computer are also helpful for applying for @CAPS3 like you can look for @CAPS3 you like. You can do @CAPS5 exciseses and useful for @CAPS5 essays. If you have a laptop you can bring it anywhere you want you don't have connect anything it take wireless and you can connect to the @CAPS6. You can look up stuff on the @CAPS6 for your homework and other stuff. Buy things without having to go to the store. These are reasons why computers have a postitive affect on people.,3.0,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,
1306,1311,1,"Dear @CAPS1 @CAPS2 @CAPS3: @CAPS4 people are skeptic on whether or not computers benefit people. I strongly believe that computers do indeed benefit humanity for it allows people to talk online with loved ones and friends across the globe, and learn about those foreign places. Computers don't take away from lifes, but shows it through fascinating synthetics. Computers allow people of all ages to interact with others over the world-wide web. Sometimes it's better to meet with people in person, but that isn't always the case. What @CAPS5 you have relatives or friends in a different country? The internet is the best way to contact those people. Also, what @CAPS5 you are in a band or a group, and need to contact them while you are out of town? Social sites like facebook or myspace allow the group members to talk and discuss matters at the hotel or wherever he @MONTH1 be. In addition to both of these reasons, students can obtain missing work and email the teacher from his household. This allows the pupil to obtain his lesson and catch up on anything he or she has missed. The technological breakthrough of the @DATE1 known as computers allow interaction with other people as well as learn of distant lands. @CAPS4 people including myself, want some culture in their lives, and wander about this lively planet we call earth and find out whats out there, but can not acheive said goal. The computer saves us time and money to do these things. All we have to do is open a search bar, type in a word, and boom, we are looking at @LOCATION2, @LOCATION3, or even the fields of @LOCATION1. Any place you want is at your. In addition to this, @CAPS5 a new tourist attraction comes to be, whether it is an amusant park, a monument, or a historical find, the internet can show us this. We can see things we would be seeing @CAPS5 we were present at the place, but instead on a monitor in your home. The computer allows you to do @CAPS4 things without actually encountering their happenings. In conclusion, computers are helpful for they allow us to preform things we could not do under certain circumstances, like talking to people over the internet, or learning of foreign countries. Not everyone can do these things, but everyone who has a computer can.",5.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,
1506,1511,1,"Dear @ORGANIZATION1, The computer has been a resource we have been using for years and gives you information and pictures but that doesn't mean people have to be on it all the time. People can talk some times with other people or go on the webcam to see a loved one who's in iraq but the need to go outside to exercise just to take a walk around the block. They don't even need to leave the house all the time just excercise to a tape or get a tredmill. Thats all people need to do instead sitting on thier butts all day move around. People becoming obease has risen because of lack of excercise so grab your shoes and go jog a couple blocks in your niehbor hood just do little things and you will feel much better than you were on your computer. Nature is all around us but most people don't noice because their on the computers. Which needs to end now these beautiful land marks across the world are being wasted because hardly any ones looking at them. Go to @LOCATION1, @LOCATION2, even @CAPS1 and get some fresh clean air thats not from your home you can go to the park to just look at the birds just see something without a screen on it. So go got your camera and go some where with wild life and have fun. Just doing these things will help your health, energy and your mind. You can go on the computer and chat with friends but not all the time. Do you want to be unhealthy in life if not go outside and take a walk.",4.0,3.0,,7.0,,,,,,,,,,,,,,,,,,,,,
144,145,1,"Dear Local Newspaper @CAPS1 are you adminitrating your loacl newapaper to society? You are probably using a computer to type the documents. If the government, businesses, schools, students and local newspaper are using computers for a variety of different tasks then @CAPS1 are thet not helpful? Primarily, computers are used for typing, editing and presenting as stated before, local newpaper are required to use computers to present their work. As a member of society, I knew I would not want to read something not typed anyway. The govermnet must announce laws to the people and use typed documents to communicate with different countries & states. Without computers signs, flyers, bussinesses, and even newspapers would not be possible. You are running late to work able to traffic on the hignway. @CAPS1 are you supposed to explain to your boss in time? You can simply email him the situation and arrive stress-free to work. Prctically the entire world uses computers as a source of communication, so why be indifferent? Computers make life easier for people through communication like email, social network websites such as facebook and aol, and even video chat. Computers supply an excellent source of communication that is even used throughout schools. Teachers and administrater interact with each other with important message using computers. if computers are important to them, the @CAPS1 could they be destructive to society? As a western middle school students, I know the amount of projects and research we are required to do per class. Without the internet this would almost be impossible. The internet allows research to happen. After reseach is finished, the paper or homework assignment must be typed and printed. Without the assitance from computers, ahving naetly-written and well-researched assignments would not be possible. To conclusion, I feel that computers are an excellent advance in technology and should be used as frequently as possiblr. Without them, newspaper could not print, teachers could not communiacte, and students couldn't complete tasks for school. As a student I know they help me with school and communicating with my friends and relatives. If computer are such a helpful source to society, why would people consider them as a concern?",5.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,
1472,1477,1,"I blive that computers have a lot of effects on people for example there eyes, there body, there mind. First you eyes if you set next to the computer too close you eyes gets effected by the computer screen and you @MONTH1 lose your eyes and then you woudnt be able to see or read or do alot of fun staff like playing as you want to set near the computer or not. Second your body if you set on the computer for a whole day and not exersice you will get fat in other word you body will become fat and you will not be able to ran and do a lot of stuff and so are you just set on the computer for the whole day or not. Thrid is you if you watch on you computer like a video or play a new game and you mind if only thinking about doing that and then when you go to school you will only be think about that and you will forget every thing you wanted to do at you thinkin about because of that. Fanilly I am telling every on to not spened too much time on the computer and be exersing and fun act side are working on you school work and doing homework and exersice and I want everyone to have a good life.",3.0,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,
38,39,1,"Dear local Newspaper A lot more people uses computers daily but not everyone agrees that it benefits society. Those people who supports advsnces in technology believe that computers have a positive effect on the people and I agree on some circumstances but looking at the situation cleary I dont agree due to the fact that its better not spending to much time on the computers. First because its way better excercising, @CAPS1 enjoying nature and lastly interacting with family. @CAPS2 why I dont agree that people should be in ther computer more their doing things better in life. First, becacuse it's useful to exercise. Talking a walk around the nieghborhood of just going for a hike with people you know. Even better going to the gym its such a better way to spend your evening instead sitting infront of a computer doing nothing but to look at a screen all day and plus exercising makes you stay in perfect fit, healthy and strong for as long as you live. A computer can just kill you not in reality but sitting all day only on the computer eating when you feel like it and no exercise that is whats going to kill you and make you become so lazy to do nothing. I know nobody would want that for sure. @CAPS1, enjoy nature live life the way it needs to. Gods creations of nature is the must beautiful thing in this world dont let it go all to waist. Jump off a waterfall or go to the park let the wind hit your face. Make imaginations become real and just enjoy what natures about. Third and last, interact with your family and friends. Spend time with them and watch movies or any sports channels. Go with them for some ice cream. Dont let them feel left out or unloved. The mall is a great way to spend time with your friends or family also going to water parks like six flag or lake compound of place like nomads or chuckie cheese its a great way places to spend and interact with your family and friends it also can bring closer as well. This is why I think sitting infront of a computer screen all day, first its a waist of time when you go do some exercise or @CAPS1 enjoy nature or lastly interact with your family and friends, @CAPS2 why sitting infront of a computer as a waist of time and negative why to spend your days of living life. Technology holds you back from the real things in life. Thank you for reading my letter and hope you take it in consideration. Good day!",5.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,
102,103,1,"Dear Local Newspaper, Have you ever been running late to a party and just realize you don't have the directions to the person's house? Have you ever had to write a paper and there wen't any books or encyclopedias available? Or have you ever just wanted to catch up with an old friend? @CAPS1 you answered yes to at least one of these questions, there is a good chance you have used a computer in your lifetime. Computers have positive effects because they can give you quick and reliable @CAPS2 and the can be fun too. To begin with let's go back to that example in the paragraph above. Have you ever been running late to a party and realize you do not have the direction's to the person's house? @CAPS1 you have, there are two things you can do in that situation. You can call up the person who probably wan't answer because they're @CAPS4 fun at their party, or you can go on the computer, type the person's address in and you will have your directions in seconds. Call me crazy, but this way seems quicker more efficient and reliable. My mother always says to me, ""@CAPS1 you're @CAPS4 trouble finding @CAPS2, go on the computer,"" because she knows that there is all the @CAPS2 in books on the @CAPS3, and more. And it's just one click away, @CAPS4 sold that, the computer has positive effects on you because it gives you quick and reliable @CAPS2 In addition, computers have positive effects on you when you're trying to have fun. For example, @CAPS5. @CAPS5 is used by teens and adults like, and for one reason only, to socialize with friends via computer. @CAPS1 you to another date and wait to see what your last friend's up the best thing to do would be to go on @CAPS5 and ask A @ORGANIZATION1 shows that in a family of five, four of them use the @CAPS3 to communicate and socialize with friends. Obviously, this is how computers have a positive effect. In conclusion, whether you're bored at home and it's a rainy day, or @CAPS1 you have to nght a research paper you saved until the last minute, a computer will be there for you. Positive effects computers have - are that they are quick and reliable, and they are fun to use.",5.0,4.0,,9.0,,,,,,,,,,,,,,,,,,,,,
814,817,1,"Dear @ORGANIZATION1, A resent concern has built up among experts that computers @MONTH1 have negitive affects on the society. I do not agree with this. Computers ease life, teach you about faraway places and people, and finaly you can chat with others. I belive computers can only benifit a society. As previously mentioned, computers ease the hassels of life. With computers you are able to plan your life with @CAPS1 output. This program ables you to enter data on places you have to go and reminds you when time is done to that event. With this program you will never forget where you have to go. Also, with the computer you are able to gather information at extreamly high speeds. Supose you are doing a research project in school on types of cars, you just enter cars on @ORGANIZATION3 and get millions of results. this save much time than going on the librery and finding a book. This can take up to on how . Finally, with a couputer handy there are programs for special needs people to wright. New programs such as @ORGANIZATION2 word have a special function called voice commands. This lets a person who can not wright because of blindness or a disability speek to the computer what he or she wants to wright. In an istant it will pop up on the screen. Computer ease peples' lifes jarasticly. Besides esing lifes, computers teach you about far away places and people. pictures on a computer give one a first hand acount of how a far away place is like. Insead of just reading about it you can see it. Acording to time magazine if a person sees a place they will learn more by @PERCENT1 than reading an encyclopedia. As well as pictures, blogs give people an idea of how a person lives in a regular day in that place and how they feel about it. This is another first hand acount of the place. Finally, ebooks on the internet give you a large amount of information. Ebooks are books but in an internet format. These books inclued encyclopedias that give statistics and, pores, and events that are in the far of place. For example if you are planning a trip you can learn where to eat and where to get entertained. you can learn about far of places and people in them with computers. Lastly, with computers you can talk to people around the world. you can talk to friends. Have you ever moved and wanted to talk to a friend from where you previously lived? Now you can esily do so with video chat. Not ownly can you talk to someone you can see them. i remember @NUM1 years ago when I moved to @LOCATION1, I mised my friends in @LOCATION2 so i video chted them. As well as talking to friends, one can have a bussness meating around the world with out having to traval out of your town. For example if a company wanted to make a trading agreement with another company in @LOCATION3 they could do so with a click of a mouse. This will save time and money of travaling. Also you can talk to others online to get a feel of what happened. For example @CAPS2 a few weeks ago, video chated many people in @LOCATION4 to undersand now bad conditions were after earth quake. You can talk to people with ease with an computer availible. In conclusion, I believe computer are benifical to a society. They ease life, teach people about far away places and the people who live there, and alow people to talk to others. Computers open doors in the world. Computers help the society a great deal.",6.0,6.0,,12.0,,,,,,,,,,,,,,,,,,,,,
1771,1776,1,"Technology, such as computers are very big. I belive computers have a good effect on people. People that use computers mostly use it to connet with family do research, or to be neat and not write it on paper. I belive that people who don’t think computer make a good effect on people shouldn't bother wasting their time using one. @PERCENT1 of people only use computer to connect with family. Usually your family either lives far away or in another state and you dont get to see them very often. Thats why I think video chating on the computer is a good thing. Also is a family come up you could @CAPS1-mail @CAPS2 your family members instead of calling them because they would talk to you forever. Lastley if you use myspace, facebook or twitter you could connect with old friends and not just family members. ""@CAPS2 my teachers enjoy it when I use the computer to do my work, they said its alot neater"" said @CAPS3 romano from strong middle school. Teachers perfer it when you use the computers to do your work. When you are writing a book report or you are writing a story, you would want to use,icrosoft word of something to write out your paper so it is easer for teachers to read. Also if your in science class and you need to make the chart you would want to use exal to make the chart or graph look more professional. Lastly is you wanted to do a presintation on bloody @DATE1 or little @CAPS4 nine you would want to use a power point instaed of just reading from note cards. If people didn't have google or yahoo they wouldn't know what to do, computers are very good for research. If a student to do a presentation on something they would want to know more about it and look,the topic up. Also if your family was having a discusion at dinner and you had no idea what they were talking about you would look it up online, lastly if you just wanted to find lyrics to a song because you and a friend disagreed on something. Once again I belive that computers make a good effect on people, good for connecting with friends and family. Good for being neat and lastly good for reaserching anything!",4.0,5.0,,9.0,,,,,,,,,,,,,,,,,,,,,
899,902,1,"I think that computers help people in there everyday lives. They just make things so much easier. Computers help us to find information @CAPS2 we needed. Book hotels and airliners, they even allow us to interact with our friends. Yes it might take away times to do other things like exercising, but we can find out away to do both. Everyday I would go on the computer a little bit and then go outside for an hour to play basket ball. People just need to find a way to it out. Computers are good for if you need to find information about anything. All you need to do is type in what you want, and within seconds you have hundreds of different links for your desire. For example if you are in @CAPS1 school and you are deciding what college that you should go try the a great place that you can go to get information. People all over the world do that just about everyday. It is also a great place if you need information if you are doing a project in school and you need more info on your subject @CAPS2 I say it make things a lot easier there is no better example a reservation for a hotel or buying a plane ticket. Both of those things do on a computer because otherwise odds are you with of then. If we didn't have computers you would need to go to the hotel and get a room, and if there were no room you out of luck. On a computer it will say if they have any or not you would need to @CAPS3 tickets would have the exact same thing. Computer say @CAPS2 there are available flights to your destination and how much. So @CAPS2 you go to the airport you are not surprised. Another good reason why computer are good for people is that it helps your interact with your friends and family @CAPS2 you can't see them. There so many different ways you can do it to. On @CAPS4, @CAPS5, myspace. All the websites like that help you stay in touch with all of your friends. Even now they have somethings where you can actually see the person you are talking to over the computer. So if you have no chance of seeing each other anytime soon you can talk to them then. I even do that with my brother, he is in college and I dont see him that much so I just start chatting with him on the computer. Now those are some reasons on why I feel that computers are a great part of our lives. Thing like finding information and booking hotels, airplanes, ect. All help make our lives a lot easier at times. And talking with other people just makes us happy. Now I hope you see why computers are a good part of all of our lives.",5.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,
580,583,1,"Dear Local Newspaper, I agree with the experts in people staying on the computer to much. The reason why is family and friends are distant, mood swings can occur and also being overweight, finally computers can do a lot of things @CAPS1 far. To be on the computer too much, your family will start to worry about you. If you were to stay on a computer for a whole day, taht causes people to think otherwise of how you are. Also if you were to stay inside on a @DATE1 and your friends come over but you say, ""I don't wanna go out"", there just drifting away slowly. Since I am a teen I stay up texting and talking and going outside and I hate to see on of my friend's on the computer when I wanna hang out. When I was @NUM1 or @NUM2, I used to always be on the computer for like days to weeks, until my friend's and family said don't let this get to you. I had a friend who was a good athlete and very funny and nice, but when his mom got him a computer, I didn't want to be his friend. When I was @NUM2 I use to get mad at everything if I couldn't use the computer, it was like I was a brat. Also I used to be big, (as in overweight) because I never went outside to exercise or in my own room. The reason being on why I stopped being his friend was he to get mad if I come over there to ask if he can come outside. Also when he did come outside he used to never do nothing or run because he was always @CAPS1 tired, @CAPS1 what I am trying to say is the computer can really change people in a lot of bad way's. The last thing which makes everyone change is what computer's can do now. For example, a game called @CAPS2 of @CAPS3 can get you addicted @CAPS1 fast, you barely do anything elese. Another bad thing is @CAPS4, sure you keep in touch with friends but if you stay on too long, it's basically hooked you into it. Lastly online chatting room's or games when you can create a person to look like you makes you think that's gonna be your life from now on. Also people think that computer's can do anything it really can't, everything a computer can do is like a drug it's addicting. Well I just gave you a little thing of a lot of thing's a computer can do but to refresh your memory I'll say it again. A reason why I agree is family and friends seem distant to you at times you get mood swing's and less exercising, lastly what a computer could do now. Since you know now of the danger's that can happen I suggest you rethink about computers.",4.0,5.0,,9.0,,,,,,,,,,,,,,,,,,,,,
967,970,1,"Dear @CAPS1 @CAPS2 @CAPS3, @DATE1's society is much more different from what it was like twenty years ago. We have phones that can easily allow us to browse the web as we please just like a computer. Our access to such a large network beings us together, can broaden mental horisons and keep many @CAPS5 hard workers on key point so that when time for work comes around, they are ready. Not everyone agrees that technology is benefit to our growing well, but I believe it keeps us moving forward and away from ignorance in all of its forms. Our construction workers work hard during their busy seasons. They vigorously build sley scraping towers, educational fucilities, additions to our health center, and even the very places we call home. However, when weather is not on their side and building anything can be hazzardous in the long run, they must still ramain at the ready when duty calls. Lately, there has been an advancement in technology to help chane opperators maintain their skills during their of season vistually. It @MONTH1 appear easy to the untrained spectation. To one it @MONTH1 seem like all they do is seat themselves in a pull a few levers, and push a few buttons. However, there is in fact a persition to such a task. Pull the lever to quickly and the crane can go sharply in the wrong direction causing it to tip over. One of feild reponters tried the @CAPS1 virtual trainer and found a @CAPS1 appreciation for the jobs at our builders. That just goes to show that @CAPS5 one does not keep such skill in check, they could in fact cause a serious malfunction on a construction site. I, personally, find it very entertaining and at the same time educational to learn a language different from my own. In fact, I teach myself @CAPS4 at home. However, @CAPS5 I did not have a computer at home, my studies would be near impossible. With @DATE1's economy going to a class outside & school, or even hiring a personal tutor, can be enough to effect anyones budget emensly. The internet provides an efficient low casting, or even free, way to help any language learner. One can even find study tips from native speakers at those who have already learned vast bit about the language. In @DATE1's society not everyone has the time to go to he library and pick up a book on a country they are interested in. Some @MONTH1 say that asking a neighbor about their home canbe just as afective, but that can awkward for those that don't particulary do well in face to face setting. However, havbing a complete at hand can make learning an enjoyabl experience. Once can find blog posts about someone's visti to there country of interest & even videos of their time there. Websites made entirely for those interesting a particular culture can also prove helpful. On the other hand, @CAPS5 someone were to be looking for and acception vacation spot recommended by locals, that information can be found as well. Some people do not love in an area where they can connect with family by a simple call or a drive. One @MONTH1 have to take a plane or pay to take with relatives. Social networks on the web makes connecting with lvoe ones easier and more affordable. The speed of instant messaging can make it seem like they are in the same room instead across the ocean. I hope that everything I have fare travel can serve a purpose to someone who has not been able to find way benefits to technological advances. Please do remember that technology can serve as a skill maintenance tool, educational, and as a connection for our foreign born citizens. Thank you for",5.0,6.0,,11.0,,,,,,,,,,,,,,,,,,,,,
730,733,1,"Honestly, I totally and absolutely believe that child internet use should be cut down in the @LOCATION2, because of many reasons. And here are just a few of them. First of all, the internet can make people very obese, for example, if your friend was going to a walk to your house, but then decided to @CAPS1 you instead, he is probably not getting a lot of exercise. As a matter of fact, the leading @CAPS2 in @LOCATION1 is no longer cigarettes. It's obesity. Actually @NUM1 @CAPS3 are obese, with that number still rising. Another reason why internet use should be cut down because bullies, hacker, and terrorists. Because. And the some I believe that child in the @LOCATION2",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
421,424,1,"Dear Local Newspaper, I think that computers have a very positive effect on people. @CAPS13 reasons are that they can educate @CAPS1, they make things easy, they are enjoyable. Below, I will explain each reason. Firstly, its very educational. Computer are like a giant resource of information. Many teachers @MONTH1 direct their students online @CAPS2 learning purposes. Also, alot of people go online to research information @CAPS2 their school, job, or a project. Great websites that are packed with information, like @ORGANIZATION1, can only be accessed using a computer. @CAPS2 example imagine having to do your research using only books, but you live far @CAPS6 a library. The internet makes that research very easy, as you access to @CAPS7 any time! Secondly, they make things very easy to do. Computer provide people with many easy, convieniant ways to do many tasks. If there werent any computers in the world. don't you think that interacting with people around the world would be challenging? Almost all of the @CAPS4/@CAPS5 in the @LOCATION2 like @PERSON1's, @ORGANIZATION2, or @PERSON2's have an online website to aid shoppers & they even allow them In buy things online, which is way more easy than going by car. I remember a time when I wanted to by something @CAPS6 a store all the way in @LOCATION1 I went online at home and bought @CAPS7 there! Also, @CAPS7 makes things like ordering @CAPS8, getting plane tickets, getting help alot much easier & @CAPS7 saves time! Thirdly, computers are very enjoyable! They provide alot of @CAPS17 things to do! @CAPS2 example if you are bored you can get on computer, & search @CAPS2 a game you enjoy. There is always a game you'll like. On of all of that, you enjoy @CAPS7 by talking to your friends and Family. You stay in touch, while enjoying their company. Another good thing that people enjoy about these computers is because they can send things to one another, lightining @CAPS10 because of email. Imagine that you don't have a phone, and you wanted to tell your husband that is away on a business trip, that you son is very sic. If you send @CAPS7 by mail, @CAPS7 take at least @NUM1 days. By email, only a couple minutes so, you can see that computer also can provide some @CAPS11 of safety @CAPS2 everybody! So, as you can see computers have a very positive effect on people @CAPS13 ways that they do this is that they are educational & they help @CAPS1 learn. They make things like ordering @CAPS8, getting tickets, or contacting helpl very easy @CAPS15, they are very enjoyable, @CAPS6 playing @CAPS17 games, to staying in touch with your Friends and Family. Don't you think that without computers we'd probably suffer? I think computers have a great effect on people",5.0,4.0,,9.0,,,,,,,,,,,,,,,,,,,,,
241,242,1,"Dear Newspaper, In our town, more people are on the computer each day. Some people state that you can do a lot on the computer and talk to people. But, I believe that our town should not support advances in technology. You will have more time to exercise, talk to family and friends in person and to take part in different activities around the town. Do you want to be overweight and not be in shape? Well, if you sit at the computer all day every day, you will become like that. ""I think exercise shoud be a part of everybody's day,"" @CAPS1 teacher @PERSON1 from @LOCATION1 stated. You would be so attatched to your computer, that you wouldn't work out. In the state of @LOCATION1, it is proven that @PERCENT1 of residents are overweight from not exercising and @PERCENT2 are overweight by not eating properly. This shows more people in @LOCATION1 don't exercise than not eating properly. @CAPS4 wants to be overweight and you can change that! More people each year make facebook and @CAPS2 @CAPS3. Some kids in school are on the internet all day talking to friends who live down the street. Students refuse to talk to their friend on the phone. Instead, they do it online. ""@CAPS4 can understand their tone of the message sent,"" @PERSON3 stated. You could interpret it in different ways. When you are on the phone, it is a quick and easy way to communicate not waiting for somebody to type back. If you are a person who is always on the computer, plan a get together with your friend to talk in real life. Sidewalk sales, clubs, sports teams, holiday stroll, these are events that every town offers! Instead of sitting dreaming of being on the team, go out and do it! Each town cares about its residents and want them to have fun. That is why towns offer these activities. ""@CAPS5 want to make the town interasting and everybody to know each other,"" says @CAPS6 @CAPS7 @PERSON2. If you participate in these activities, you will meet other kids your age around the town. If your town offers all of these activities, they are helping you out. Being out helping the town is way better than sitting in your house on the computer! In many ways both advancing technology or not, why be inside doing nothing but talking to people? Go and talk to them in real life. Being in shape, talking to people in real life and activities your town offers is the way to go. Thank you for your concern",4.0,5.0,,9.0,,,,,,,,,,,,,,,,,,,,,
731,734,1,"Dear newspaper, This year my school and a cop come into my school and tell me and my peers about the dangers of online. This has made me believe that computors are not beneficial. Computors are not beneficial because they enforce bad habits. Plus, websites and some applications are dangerous. Also, they are very addictive. Computors have a bad effect on people. To begin, computors enforce bad habits. For example, some websites are bad websites that say mean things about other people. Some kids @MONTH1 join in on the cyber bulling because other kids are kids @MONTH1 give in to peer pressure because they want to get accepted by their peers so badly. Furthermore, someone @MONTH1 agree to meet someone they don't know. That can be scary because you do not know if this person is really someone you thought they were. Recently, I read a magazine and it had an article in it about people going to meet other people they online. Most people found at that it was not the person they thought they were. Finally, the computor enforces bad habits because people @MONTH1 send someone some questionable pictures to someone else. As I mentioned before, when the police officer came to our school he talked about this. He said that people were sending pictures of them that were innapropiate to other people. Those other people would send it around and in the end it was a horrible mess. I'm sure if computers didn't have a giant effect on people, this would not be as big of a problem as it is. Computors do not only cause bad habits, but they are also dangerous. I'm sure if you listen to the news you will hear stories about child predators. I think that is one huge problem. If computers did not have such a on people this would not be a problem. In addition, computors are dangerous because kids @MONTH1 choose to make bad decisions because they do not knew. For example, many kids who are on myspace or facebook have not talked to their parent or guardian about internet safety. Or maybe even their parent or guardian isn't monitering them to make sure they are safe online. In conclusion, the computer is dangerous because feelings could be hurt because of myspace, facebook, a blog, a video, or maybe even more. As an illustration, one time one the news I heard a story about a girl who was tensed on the internet. She felt so bad that she committed sucide. I found that horrible. A person should never comitt sucide, especially because some other person could not be nice. To sum up, computors are very dangerous. Computors are also addictive. To start off, it makes you spend less time with your family. (not finished!!!)",5.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,
998,1001,1,"Dear Newspaper, I think people should use computers for spicific reasons. One reason is that many people lose family or to be more spicific lose contact with people. Then when you have a computer for someone else has one then you would be able to see them. For other purposes like wanting to play online with fellow student or friends then you have to use computers. Plus your fingers get a exercise when your typing. Many of us young kids say that myspace and facebook is a bad place. Actually its not because most of your family is on it. Doctors use computers all the time to notife other doctors that something wrong with a patient or give a visual of the bereathing. Workers even use it to see whats going on with the jobs if theres any jobs open so they can take it. Students use it to show what work they have to do when the teachers not there. If i was a capenter of a real estate agent I would have a computer with me. The reason why is that my group would know what houses are avalable to use or thats sold. Or I would give them different house to choose from and give them a good deal on it. I would also bring a computer with me for gps so i can know where I am. Many people use computers for different reason. Such as pog, cheatcodes, @CAPS1 cards and other thing. My reason for using this is because my work is important to me. I would do it on the computers if I miss it. That is why you should have computers all the time. You newer know what would happen. In conclusion, This is why computers are very important to have. The reasons are for if somthing happens. To you and you don't have a phone use a computer. Also its beneficial that everyone has thing to do but computers are the best thing to do.",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
1728,1733,1,"I think that computer are a good benefit for people because those who support advances in technology believe that computers have a positive effect on people. For example, they teach hand-eye coordination, give people the ability to learn about faraway places, people and even allow people to talk with other people. My first reason, is that important people around the world used computers to have a better future on life. The people that use computers have important jobs. For example, a judge, an enginere, a lawyer, an archytecht, a scientist, an archeologist etc... This is why I think that computer are helpfull for people. My second reason, is that computer could be helpful with kids because computers could help kids get better grades at school. It could help develop a smarter brain in many ways. The first way that it could help develop a smarter brain is reading a lot on the compute. It helps by knowing the meaning of new words. I helps you speak correctly and clear. That is why I think that computers help develop a smarter brain. My third reason is that it help adult connect to different places at the world. That could be a hobby for adults that does not have something to do could have a good time. My conclusion is that with computer you could have a better life. Computers could help you get a better future.",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
1077,1080,1,"People are asking me, ""@CAPS1 you think we should spend more or less time on computers""? I say we should spend less time on the computer because children spend to much time on online games. Second kids and adults spend to much time on myspace, facebook, msm, and even aim. My third reason is children should be outside playing and exercising. These are my three reasons why we should spend less time on computers. My first reason we should all spend less time on computer is children play so many online games, such as @CAPS2 of warcraft, @CAPS3, soilder front, ect. A problem with kids playing these games become addicted to them, and will play for hours. Children should be outside getting bigger muscle, getting strong bones. Kids keep playing these games and are ruining their lifes. This is my first reason why we should spend less time on the computer. My second reason why we should spend less time on computers is children and adults spend to much time on the following: myspace, facebook, twitter, aim, msm, ect. These online pages causes people to go on one to connect to their friends. Also with these online pages they cause to much and could lead to fight or rumors. About @PERCENT1 of kids and adults go on these online pages every day its time they stayed going on their computer more time on outside or hangout with their friends. My last but not the least reason is kids should be outside playing instead of being on the computer. Children should go outside with their friend and play sport or games, something that doesn't involve with the computer. This is my third reason why children should not we spending more time on computers. As I said before people should spend less time on computer. Kids spend to much time on online games. Adults and kids spend to much time on online pages. And last children should be playing outside. Its time we put a timer on our computer and spend more time outside.",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
1168,1172,1,"More and more people use computers, but not everyone agrees that this benefits society. I feel that those people that think computers do not benefit society, are right. I feel this way because people need to start exercising it more, and interact with family and friends. Also, should enjoy life. Please read on to read in detail, as to why I feel this way. Firstly, those who are always on the computer need to exercise more, they need to exercise to stay healthy and strong. If they don't, they will most likely eat more and gain a lot of unwanted fat. Also, some of them don't even exercise at all. Secondly, they don't interact with their family and friends as much. Those people tend to probably argue with their family because they had to get off of computer. When you fight with people you want to gey away from it so you go back to the computer. It's not healthy to be on the computer for long periods at a time. Lastly, they should enjoy life. See the world through their own eyes. Party with friends and family. Go to college and do something with their lives. They need to enjoy things how they originally were without any computers, ipods, or even cellphones. In conclusion, the reasons I feel this why are because people need to exercise more, and interact with family and friends. Also, they need to enjoy life. I hope you understand as to why I feel this way.",3.0,4.0,,7.0,,,,,,,,,,,,,,,,,,,,,
